result_position,collection_frame_index,frame_id,step,time,time_unit
504,504,504,504,0.504,ps
505,505,505,505,0.505,ps
506,506,506,506,0.506,ps
507,507,507,507,0.507,ps
508,508,508,508,0.508,ps
509,509,509,509,0.509,ps
510,510,510,510,0.51,ps
511,511,511,511,0.511,ps
512,512,512,512,0.512,ps
513,513,513,513,0.513,ps
514,514,514,514,0.514,ps
515,515,515,515,0.515,ps
516,516,516,516,0.516,ps
517,517,517,517,0.517,ps
518,518,518,518,0.518,ps
519,519,519,519,0.519,ps
520,520,520,520,0.52,ps
521,521,521,521,0.521,ps
522,522,522,522,0.522,ps
523,523,523,523,0.523,ps
524,524,524,524,0.524,ps
525,525,525,525,0.525,ps
526,526,526,526,0.526,ps
527,527,527,527,0.527,ps
528,528,528,528,0.528,ps
529,529,529,529,0.529,ps
530,530,530,530,0.53,ps
531,531,531,531,0.531,ps
532,532,532,532,0.532,ps
533,533,533,533,0.533,ps
534,534,534,534,0.534,ps
535,535,535,535,0.535,ps
536,536,536,536,0.536,ps
537,537,537,537,0.537,ps
538,538,538,538,0.538,ps
539,539,539,539,0.539,ps
540,540,540,540,0.54,ps
541,541,541,541,0.541,ps
542,542,542,542,0.542,ps
543,543,543,543,0.543,ps
544,544,544,544,0.544,ps
545,545,545,545,0.545,ps
546,546,546,546,0.546,ps
547,547,547,547,0.547,ps
548,548,548,548,0.548,ps
549,549,549,549,0.549,ps
550,550,550,550,0.55,ps
551,551,551,551,0.551,ps
552,552,552,552,0.552,ps
553,553,553,553,0.553,ps
554,554,554,554,0.554,ps
555,555,555,555,0.555,ps
556,556,556,556,0.556,ps
557,557,557,557,0.557,ps
558,558,558,558,0.558,ps
559,559,559,559,0.559,ps
560,560,560,560,0.56,ps
561,561,561,561,0.561,ps
562,562,562,562,0.562,ps
563,563,563,563,0.5630000000000001,ps
564,564,564,564,0.5640000000000001,ps
565,565,565,565,0.5650000000000001,ps
566,566,566,566,0.5660000000000001,ps
567,567,567,567,0.5670000000000001,ps
568,568,568,568,0.5680000000000001,ps
569,569,569,569,0.5690000000000001,ps
570,570,570,570,0.5700000000000001,ps
571,571,571,571,0.5710000000000001,ps
572,572,572,572,0.5720000000000001,ps
573,573,573,573,0.5730000000000001,ps
574,574,574,574,0.5740000000000001,ps
575,575,575,575,0.5750000000000001,ps
576,576,576,576,0.5760000000000001,ps
577,577,577,577,0.577,ps
578,578,578,578,0.578,ps
579,579,579,579,0.579,ps
580,580,580,580,0.58,ps
581,581,581,581,0.581,ps
582,582,582,582,0.582,ps
583,583,583,583,0.583,ps
584,584,584,584,0.584,ps
585,585,585,585,0.585,ps
586,586,586,586,0.586,ps
587,587,587,587,0.587,ps
588,588,588,588,0.588,ps
589,589,589,589,0.589,ps
590,590,590,590,0.59,ps
591,591,591,591,0.591,ps
592,592,592,592,0.592,ps
593,593,593,593,0.593,ps
594,594,594,594,0.594,ps
595,595,595,595,0.595,ps
596,596,596,596,0.596,ps
597,597,597,597,0.597,ps
598,598,598,598,0.598,ps
599,599,599,599,0.599,ps
600,600,600,600,0.6,ps
601,601,601,601,0.601,ps
602,602,602,602,0.602,ps
603,603,603,603,0.603,ps
604,604,604,604,0.604,ps
605,605,605,605,0.605,ps
606,606,606,606,0.606,ps
607,607,607,607,0.607,ps
608,608,608,608,0.608,ps
609,609,609,609,0.609,ps
610,610,610,610,0.61,ps
611,611,611,611,0.611,ps
612,612,612,612,0.612,ps
613,613,613,613,0.613,ps
614,614,614,614,0.614,ps
615,615,615,615,0.615,ps
616,616,616,616,0.616,ps
617,617,617,617,0.617,ps
618,618,618,618,0.618,ps
619,619,619,619,0.619,ps
620,620,620,620,0.62,ps
621,621,621,621,0.621,ps
622,622,622,622,0.622,ps
623,623,623,623,0.623,ps
624,624,624,624,0.624,ps
625,625,625,625,0.625,ps
626,626,626,626,0.626,ps
627,627,627,627,0.627,ps
628,628,628,628,0.628,ps
629,629,629,629,0.629,ps
630,630,630,630,0.63,ps
631,631,631,631,0.631,ps
632,632,632,632,0.632,ps
633,633,633,633,0.633,ps
634,634,634,634,0.634,ps
635,635,635,635,0.635,ps
636,636,636,636,0.636,ps
637,637,637,637,0.637,ps
638,638,638,638,0.638,ps
639,639,639,639,0.639,ps
640,640,640,640,0.64,ps
641,641,641,641,0.641,ps
642,642,642,642,0.642,ps
643,643,643,643,0.643,ps
644,644,644,644,0.644,ps
645,645,645,645,0.645,ps
646,646,646,646,0.646,ps
647,647,647,647,0.647,ps
648,648,648,648,0.648,ps
649,649,649,649,0.649,ps
650,650,650,650,0.65,ps
651,651,651,651,0.651,ps
652,652,652,652,0.652,ps
653,653,653,653,0.653,ps
654,654,654,654,0.654,ps
655,655,655,655,0.655,ps
656,656,656,656,0.656,ps
657,657,657,657,0.657,ps
658,658,658,658,0.658,ps
659,659,659,659,0.659,ps
660,660,660,660,0.66,ps
661,661,661,661,0.661,ps
662,662,662,662,0.662,ps
663,663,663,663,0.663,ps
664,664,664,664,0.664,ps
665,665,665,665,0.665,ps
666,666,666,666,0.666,ps
667,667,667,667,0.667,ps
668,668,668,668,0.668,ps
669,669,669,669,0.669,ps
670,670,670,670,0.67,ps
671,671,671,671,0.671,ps
672,672,672,672,0.672,ps
673,673,673,673,0.673,ps
674,674,674,674,0.674,ps
675,675,675,675,0.675,ps
676,676,676,676,0.676,ps
677,677,677,677,0.677,ps
678,678,678,678,0.678,ps
679,679,679,679,0.679,ps
680,680,680,680,0.68,ps
681,681,681,681,0.681,ps
682,682,682,682,0.682,ps
683,683,683,683,0.683,ps
684,684,684,684,0.684,ps
685,685,685,685,0.685,ps
686,686,686,686,0.686,ps
687,687,687,687,0.687,ps
688,688,688,688,0.6880000000000001,ps
689,689,689,689,0.6890000000000001,ps
690,690,690,690,0.6900000000000001,ps
691,691,691,691,0.6910000000000001,ps
692,692,692,692,0.6920000000000001,ps
693,693,693,693,0.6930000000000001,ps
694,694,694,694,0.6940000000000001,ps
695,695,695,695,0.6950000000000001,ps
696,696,696,696,0.6960000000000001,ps
697,697,697,697,0.6970000000000001,ps
698,698,698,698,0.6980000000000001,ps
699,699,699,699,0.6990000000000001,ps
700,700,700,700,0.7000000000000001,ps
701,701,701,701,0.7010000000000001,ps
702,702,702,702,0.7020000000000001,ps
703,703,703,703,0.7030000000000001,ps
704,704,704,704,0.704,ps
705,705,705,705,0.705,ps
706,706,706,706,0.706,ps
707,707,707,707,0.707,ps
708,708,708,708,0.708,ps
709,709,709,709,0.709,ps
710,710,710,710,0.71,ps
711,711,711,711,0.711,ps
712,712,712,712,0.712,ps
713,713,713,713,0.713,ps
714,714,714,714,0.714,ps
715,715,715,715,0.715,ps
716,716,716,716,0.716,ps
717,717,717,717,0.717,ps
718,718,718,718,0.718,ps
719,719,719,719,0.719,ps
720,720,720,720,0.72,ps
721,721,721,721,0.721,ps
722,722,722,722,0.722,ps
723,723,723,723,0.723,ps
724,724,724,724,0.724,ps
725,725,725,725,0.725,ps
726,726,726,726,0.726,ps
727,727,727,727,0.727,ps
728,728,728,728,0.728,ps
729,729,729,729,0.729,ps
730,730,730,730,0.73,ps
731,731,731,731,0.731,ps
732,732,732,732,0.732,ps
733,733,733,733,0.733,ps
734,734,734,734,0.734,ps
735,735,735,735,0.735,ps
736,736,736,736,0.736,ps
737,737,737,737,0.737,ps
738,738,738,738,0.738,ps
739,739,739,739,0.739,ps
740,740,740,740,0.74,ps
741,741,741,741,0.741,ps
742,742,742,742,0.742,ps
743,743,743,743,0.743,ps
744,744,744,744,0.744,ps
745,745,745,745,0.745,ps
746,746,746,746,0.746,ps
747,747,747,747,0.747,ps
748,748,748,748,0.748,ps
749,749,749,749,0.749,ps
750,750,750,750,0.75,ps
751,751,751,751,0.751,ps
752,752,752,752,0.752,ps
753,753,753,753,0.753,ps
754,754,754,754,0.754,ps
755,755,755,755,0.755,ps
756,756,756,756,0.756,ps
757,757,757,757,0.757,ps
758,758,758,758,0.758,ps
759,759,759,759,0.759,ps
760,760,760,760,0.76,ps
761,761,761,761,0.761,ps
762,762,762,762,0.762,ps
763,763,763,763,0.763,ps
764,764,764,764,0.764,ps
765,765,765,765,0.765,ps
766,766,766,766,0.766,ps
767,767,767,767,0.767,ps
768,768,768,768,0.768,ps
769,769,769,769,0.769,ps
770,770,770,770,0.77,ps
771,771,771,771,0.771,ps
772,772,772,772,0.772,ps
773,773,773,773,0.773,ps
774,774,774,774,0.774,ps
775,775,775,775,0.775,ps
776,776,776,776,0.776,ps
777,777,777,777,0.777,ps
778,778,778,778,0.778,ps
779,779,779,779,0.779,ps
780,780,780,780,0.78,ps
781,781,781,781,0.781,ps
782,782,782,782,0.782,ps
783,783,783,783,0.783,ps
784,784,784,784,0.784,ps
785,785,785,785,0.785,ps
786,786,786,786,0.786,ps
787,787,787,787,0.787,ps
788,788,788,788,0.788,ps
789,789,789,789,0.789,ps
790,790,790,790,0.79,ps
791,791,791,791,0.791,ps
792,792,792,792,0.792,ps
793,793,793,793,0.793,ps
794,794,794,794,0.794,ps
795,795,795,795,0.795,ps
796,796,796,796,0.796,ps
797,797,797,797,0.797,ps
798,798,798,798,0.798,ps
799,799,799,799,0.799,ps
800,800,800,800,0.8,ps
801,801,801,801,0.801,ps
802,802,802,802,0.802,ps
803,803,803,803,0.803,ps
804,804,804,804,0.804,ps
805,805,805,805,0.805,ps
806,806,806,806,0.806,ps
807,807,807,807,0.807,ps
808,808,808,808,0.808,ps
809,809,809,809,0.809,ps
810,810,810,810,0.81,ps
811,811,811,811,0.811,ps
812,812,812,812,0.812,ps
813,813,813,813,0.8130000000000001,ps
814,814,814,814,0.8140000000000001,ps
815,815,815,815,0.8150000000000001,ps
816,816,816,816,0.8160000000000001,ps
817,817,817,817,0.8170000000000001,ps
818,818,818,818,0.8180000000000001,ps
819,819,819,819,0.8190000000000001,ps
820,820,820,820,0.8200000000000001,ps
821,821,821,821,0.8210000000000001,ps
822,822,822,822,0.8220000000000001,ps
823,823,823,823,0.8230000000000001,ps
824,824,824,824,0.8240000000000001,ps
825,825,825,825,0.8250000000000001,ps
826,826,826,826,0.8260000000000001,ps
827,827,827,827,0.8270000000000001,ps
828,828,828,828,0.8280000000000001,ps
829,829,829,829,0.8290000000000001,ps
830,830,830,830,0.8300000000000001,ps
831,831,831,831,0.8310000000000001,ps
832,832,832,832,0.8320000000000001,ps
833,833,833,833,0.833,ps
834,834,834,834,0.834,ps
835,835,835,835,0.835,ps
836,836,836,836,0.836,ps
837,837,837,837,0.837,ps
838,838,838,838,0.838,ps
839,839,839,839,0.839,ps
840,840,840,840,0.84,ps
841,841,841,841,0.841,ps
842,842,842,842,0.842,ps
843,843,843,843,0.843,ps
844,844,844,844,0.844,ps
845,845,845,845,0.845,ps
846,846,846,846,0.846,ps
847,847,847,847,0.847,ps
848,848,848,848,0.848,ps
849,849,849,849,0.849,ps
850,850,850,850,0.85,ps
851,851,851,851,0.851,ps
852,852,852,852,0.852,ps
853,853,853,853,0.853,ps
854,854,854,854,0.854,ps
855,855,855,855,0.855,ps
856,856,856,856,0.856,ps
857,857,857,857,0.857,ps
858,858,858,858,0.858,ps
859,859,859,859,0.859,ps
860,860,860,860,0.86,ps
861,861,861,861,0.861,ps
862,862,862,862,0.862,ps
863,863,863,863,0.863,ps
864,864,864,864,0.864,ps
865,865,865,865,0.865,ps
866,866,866,866,0.866,ps
867,867,867,867,0.867,ps
868,868,868,868,0.868,ps
869,869,869,869,0.869,ps
870,870,870,870,0.87,ps
871,871,871,871,0.871,ps
872,872,872,872,0.872,ps
873,873,873,873,0.873,ps
874,874,874,874,0.874,ps
875,875,875,875,0.875,ps
876,876,876,876,0.876,ps
877,877,877,877,0.877,ps
878,878,878,878,0.878,ps
879,879,879,879,0.879,ps
880,880,880,880,0.88,ps
881,881,881,881,0.881,ps
882,882,882,882,0.882,ps
883,883,883,883,0.883,ps
884,884,884,884,0.884,ps
885,885,885,885,0.885,ps
886,886,886,886,0.886,ps
887,887,887,887,0.887,ps
888,888,888,888,0.888,ps
